Comment,Toxic,Urdu,predicted_label
Dono dhamakon mein majmoyi taur par 42 log halaak hogaye thae jab key 50 se zayed zakhmi hogaye thae,0, دونوں دھماکوں میں مجموعی طور پر 42 لوگ ہلاک ہوگئے تھے جب کہ 50 سے زائد زخمی ہوگئے تھے ,0
Apni uhad ke nihayat pur soz aur surile golokara Zenat Begum ke gale se ese ese Urdu aur Punjabi geet gawaye jis ki missal milna mushkail hai,0, اپنی عہد کے نہایت پر سوز اور سوریلی گلوکارہ زینت بیگم کے گلے سے ایسی ایسی اردو اور پنجابی گیت گوائی جس کی مثال ملنا مشکل ہے ,1
ALLAH n farmaya shaheed Allah K Han h or Apna rizq paa raha h,0, اللہ نے فرمایا شہید اللہ کے ہاں ہے اور اپنا رزق پا رہا ہے ,1
Lara apne 11 behan bhaiyyon mein 10th number par hain,0, لارا اپنے 11 بہن بھائیوں میں 10تھ نمبر پر ہیں ,1
"Bhaiyon ye ""Ilm-e-Haq"" channel RSS ka chalaya hua hai. Ye musalmaano mein phoot dalkar unhen tabah karna chahte hain. Isko zyada se zyada dislike karo.",0," بھائیوں یہ "" علم حق "" چینل آر ایس ایس کا چلایا ہوا ہے . یہ مسلمانوں میں پھوٹ ڈال کر انہیں تباہ کرنا چاہتے ہیں . اسکو زیادہ سے زیادہ ڈسلائک کرو . ",1
Aweome yaar...u r just aweosme....aise hi lage raho...in over acters ko sabi sabaq sikhana hi chahiye,0, آوسم یار . . . یو آر جسٹ آوسم . . . . ایسے ہی لگے رہو . . . ان اوور ایکٹرز کو سبی سبق سکھانا ہی چاہیے ,1
Chandrashekar Rao ney aaj Gajwel mein 'Telangana ko Haritha Haram' programme ke chouthay marhala ka aaghaz kya,0, چندرشیکھر راؤ نے آج گجویل میں ’ تیلنگانا کو ہرتھا ہرم ’ پروگرام کے چوتھے مرحلے کا آغاز کیا ,0
Is tara ka biyan to bachy daty han ton mard ban jb pak Armi na tari mari to chekh raha ta likn tm nh sudro ga,1, اس طرح کا بیان تو بچے دیتے ہیں توں مرد بن جب پاک آرمی نے تیری ماری تو چیخ رہا تا لیکن تم نہیں سدھرو گے ,1
"hona tha jo hua jo hua kya bura hua
hona tha jo hua jo hua kya bura hua kya bura hua
achha hi hua toot gaya jhootha aitbaar
ab kis ka intezaar aji kaisa intezaar
woh woh na rahe",0, ھونا تھا جو ہوا جو ہوا کیا برا ہوا ھونا تھا جو ہوا جو ہوا کیا برا ہوا کیا برا ہوا اچھا ہی ہوا ٹوٹ گیا جھوٹا اعتبار اب کس کا انتظار اجی کیسا انتظار وہ وہ نہ رہے ,1
Your voice is best,0, یور وائس از بیسٹ ,0
"kahaan ho tum kahaan ho tum kahaan ho tum kahaan ho tum
aye haye aye haye haye chikini",0, کہاں ہو تم کہاں ہو تم کہاں ہو تم کہاں ہو تم آئے ہائے آئے ہائے ہائے چیکینی ,0
1971 mein Sire county 13 saal bad county champion bani to us mein Intikhab Alam ki umdah bowling ka bhi dakhal tha,0, 1971 میں سائر کاؤنٹی 13 سال بعد کاؤنٹی چیمپین بنے تو اس میں انتخاب عالم کی عمدہ باؤلنگ کا بھی داخل تھا ,0
heera mandi women,1, ہیرا منڈی ویمن ,0
dusron ko jhuta aur kazzab keh dena bara asaan hy lekin dalayel aur saboot pesh krna jo valid b hu bahot mushkil kam hy. Ye mardood kazzab ya tum agar sachay ho to meri kissi ek bat ko saboot aur dalayel se challenge kr k radd kro. Idr udr ki to mae b bahot suna skta hu lekin ye adat ni hy meri.,0, دوسروں کو جھوٹا اور کذاب کہہ دینا بڑا آسان ہے لیکن دلائل اور ثبوت پیش کرنا جو ویلڈ بی ہو بہت مشکل کام ہے . یہ مردود کذاب یا تم اگر سچے ہو تو میری کسی اک بات کو ثبوت اور دلائل سے چیلنج کر کے رد کرو . ادھر ادھر کی تو میں بھی بہت سنا سکتا ہوں لیکن یہ عادت نہیں ہے میری . ,1
"Tasveer teri dil me, jis din se utari hai",0, تصویر تیری دل میں ، جس دن سے اتری ہے ,0
Unhain dahshatgard aur qatil tak kaha gaya hai,1, انہیں دہشتگرد اور قاتل تک کہا گیا ہے ,0
"Commissionaire Karachi Saleh Ahmed Farooqi ney ijlaas ko tajawazat ke khilaaf ki gayi karwayyon se mutaliq aagahi daal y, d aayi jee Javed aalam avdho ney bataya ke",0, کمشنر کراچی صالح احمد فاروقی نے اجلاس کو تجاوزات کے خلاف کی گئی کاروائیوں سے متعلق آگاہی ڈال وائے ، ڈ آئی جی جاوید عالم اوڑو نے بتایا کہ ,0
tableeghi jamaat mein teen qisam ke bhai hain 1 kisi se baet hain 2 kisi se baet nahi aur baet ki nifi bhi nahi karte yeh dono qisam ke tableeghi kamyaab hain 3 kisi se baet nahi aur baet ki nifi bhi karte hain yeh gumraah hain inka aqeedah kharab hai,0, تبلیغی جماعت میں تین قسم کے بھائی ہیں 1 کسی سے بیعت ہیں 2 کسی سے بیعت نہیں اور بیعت کی نفی بھی نہیں کرتے یہ دونوں قسم کے تبلیغی کامیاب ہیں 3 کسی سے بیعت نہیں اور بیعت کی نفی بھی کرتے ہیں یہ گمراہ ہیں انکا عقیدہ خراب ہے ,1
"hamein duniyaa ko dil ke zakhm dikhalaanaa nahiin aataa
tadap lete hain lekin unako tadapaanaa nahiin aataa
hamein duniyaa ko dil ke zakhm dikhalaanaa nahiin aataa",0, ہمیں دنیا کو دل کے زخم دکھلانا نہیں آتا تڑپ لیتے ہیں لیکن ان کو تڑپانا نہیں آتا ہمیں دنیا کو دل کے زخم دکھلانا نہیں آتا ,0
 Tower ke sab se buland maqam ko Shirfa kaha jata hai yahan pohanch kar zaireen haram shareef ka fazai mushahida kar saktay hain,0, ٹاور کے سب سے بلند مقام کو شرفہ کہا جاتا ہے یہاں پہنچ کر زائرین حرم شریف کا فضائی مشاہدہ کر سکتے ہیں ,1
Yu,0, یو ,1
or is ko kog deane party ka leader kehtay hn,0, اور اس کو کوگ دینے پارٹی کا لیڈر کہتے ہیں ,1
U done great job bro,0, یو ڈن گریٹ جاب برو ,0
"Kis Liye Jeete Hain Hum Kiske Liye Jeete Hain
Baarha Aise Sawalat Pe Rona Aaya
Kabhi Khud Pe...",0, کس لیے جیتے ہیں ہم کس کے لیے جیتے ہیں بڑھا ایسے سوالات پہ رونا آیا کبھی خود پہ . . . ,1
rizvi sahab you are right,0, رضوی صاحب یو آر رائٹ ,0
Haal hi mein jari ki gayi yeh report aqwam-e-mutahidda ki janib se satah samandar mein izafay se mutaliq jari kiye gaye andazay se dugni hai,0, حال ہی میں جاری کی گئی یہ رپورٹ عکوام متحدہ کی جانب سے سطح سمندر میں اضافے سے متعلق جاری کیے گئے اندازے سے دگنی ہے ,0
Hahaha dear proper dupata kr lo very good video,0, ہاہاہا ڈیئر پروپر دوپٹہ کر لو ویری گڈ ویڈیو ,0
Parhe likhe jahil pak librals khud ko bht bara muslman samhjte hain muslman k nam pr dhabba ho tm log.,1, پڑھے لکھے جاہل پاک لیبرلز خود کو بہت بڑا مسلمان سمحھتے ہیں مسلمان کے نام پر دھبہ ہو تم لوگ . ,1
